line;name;coffee;tea
Арбатско-Покровская линия;Арбатская;0;0
Арбатско-Покровская линия;Бауманская;0;0
Арбатско-Покровская линия;Волоколамская;0;0
Арбатско-Покровская линия;Измайловская;0;0
Арбатско-Покровская линия;Киевская;0;0
Арбатско-Покровская линия;Крылатское;0;0
Арбатско-Покровская линия;Кунцевская;0;0
Арбатско-Покровская линия;Курская;0;0
Арбатско-Покровская линия;Митино;0;0
Арбатско-Покровская линия;Молодёжная;1;0
Арбатско-Покровская линия;Мякинино;0;0
Арбатско-Покровская линия;Парк Победы;0;0
Арбатско-Покровская линия;Партизанская;0;0
Арбатско-Покровская линия;Первомайская;0;0
Арбатско-Покровская линия;Площадь Революции;0;0
Арбатско-Покровская линия;Пятницкое шоссе;0;0
Арбатско-Покровская линия;Семёновская;0;0
Арбатско-Покровская линия;Славянский бульвар;0;0
Арбатско-Покровская линия;Смоленская;0;0
Арбатско-Покровская линия;Строгино;0;0
Арбатско-Покровская линия;Щёлковская;0;0
Арбатско-Покровская линия;Электрозаводская;0;0
Бутовская линия;Битцевский парк;0;0
Бутовская линия;Бульвар Адмирала Ушакова;0;0
Бутовская линия;Бунинская Аллея;0;0
Бутовская линия;Лесопарковая;0;0
Бутовская линия;Улица Горчакова;0;0
Бутовская линия;Улица Скобелевская;0;0
Бутовская линия;Улица Старокачаловская;0;0
Замоскворецкая линия;Автозаводская;0;0
Замоскворецкая линия;Алма-Атинская;0;0
Замоскворецкая линия;Аэропорт;0;0
Замоскворецкая линия;Беломорская;0;0
Замоскворецкая линия;Белорусская;0;0
Замоскворецкая линия;Водный стадион;0;0
Замоскворецкая линия;Войковская;2;0
Замоскворецкая линия;Динамо;0;0
Замоскворецкая линия;Домодедовская;0;0
Замоскворецкая линия;Кантемировская;0;0
Замоскворецкая линия;Каширская;0;0
Замоскворецкая линия;Коломенская;0;0
Замоскворецкая линия;Красногвардейская;0;0
Замоскворецкая линия;Маяковская;0;0
Замоскворецкая линия;Новокузнецкая;0;0
Замоскворецкая линия;Орехово;0;1
Замоскворецкая линия;Павелецкая;0;0
Замоскворецкая линия;Речной вокзал;1;0
Замоскворецкая линия;Сокол;1;0
Замоскворецкая линия;Тверская;0;0
Замоскворецкая линия;Театральная;0;0
Замоскворецкая линия;Ховрино;0;1
Замоскворецкая линия;Царицыно;0;2
Калининская линия;Авиамоторная;0;0
Калининская линия;Деловой центр;0;0
Калининская линия;Марксистская;0;0
Калининская линия;Новогиреево;0;0
Калининская линия;Новокосино;0;0
Калининская линия;Парк Победы;0;0
Калининская линия;Перово;0;0
Калининская линия;Площадь Ильича;0;0
Калининская линия;Третьяковская;0;0
Калининская линия;Шоссе Энтузиастов;0;0
Калужско-Рижская линия;Академическая;1;0
Калужско-Рижская линия;Алексеевская;0;0
Калужско-Рижская линия;Бабушкинская;0;1
Калужско-Рижская линия;Беляево;0;0
Калужско-Рижская линия;Ботанический сад;0;0
Калужско-Рижская линия;ВДНХ;0;0
Калужско-Рижская линия;Калужская;0;0
Калужско-Рижская линия;Китай-город;0;0
Калужско-Рижская линия;Коньково;0;0
Калужско-Рижская линия;Ленинский проспект;0;0
Калужско-Рижская линия;Медведково;0;0
Калужско-Рижская линия;Новоясеневская;0;0
Калужско-Рижская линия;Новые Черёмушки;0;0
Калужско-Рижская линия;Октябрьская;0;0
Калужско-Рижская линия;Проспект Мира;0;0
Калужско-Рижская линия;Профсоюзная;0;0
Калужско-Рижская линия;Рижская;0;0
Калужско-Рижская линия;Свиблово;0;0
Калужско-Рижская линия;Сухаревская;0;0
Калужско-Рижская линия;Теплый Стан;0;0
Калужско-Рижская линия;Третьяковская;0;0
Калужско-Рижская линия;Тургеневская;0;0
Калужско-Рижская линия;Шаболовская;0;0
Калужско-Рижская линия;Ясенево;0;0
Каховская линия;Варшавская;0;0
Каховская линия;Каховская;0;0
Каховская линия;Каширская;0;0
Кольцевая линия;Белорусская;0;0
Кольцевая линия;Добрынинская;0;0
Кольцевая линия;Киевская;0;0
Кольцевая линия;Комсомольская;1;0
Кольцевая линия;Краснопресненская;0;0
Кольцевая линия;Курская;0;0
Кольцевая линия;Новослободская;0;0
Кольцевая линия;Октябрьская;0;0
Кольцевая линия;Павелецкая;0;0
Кольцевая линия;Парк культуры;0;0
Кольцевая линия;Проспект Мира;0;0
Кольцевая линия;Таганская;0;0
Люблинская линия;Борисово;0;0
Люблинская линия;Братиславская;0;0
Люблинская линия;Бутырская;0;0
Люблинская линия;Верхние Лихоборы;0;0
Люблинская линия;Волжская;0;0
Люблинская линия;Достоевская;0;0
Люблинская линия;Дубровка;0;0
Люблинская линия;Зябликово;0;0
Люблинская линия;Кожуховская;0;0
Люблинская линия;Крестьянская застава;0;0
Люблинская линия;Люблино;0;0
Люблинская линия;Марьина Роща;0;0
Люблинская линия;Марьино;0;0
Люблинская линия;Окружная;1;0
Люблинская линия;Петровско-Разумовская;0;0
Люблинская линия;Печатники;0;0
Люблинская линия;Римская;0;0
Люблинская линия;Селигерская;0;0
Люблинская линия;Сретенский бульвар;0;0
Люблинская линия;Трубная;0;0
Люблинская линия;Фонвизенская;0;0
Люблинская линия;Чкаловская;0;0
Люблинская линия;Шипиловская;0;0
Серпуховско-Тимирязевская линия;Алтуфьево;0;0
Серпуховско-Тимирязевская линия;Аннино;0;0
Серпуховско-Тимирязевская линия;Бибирево;0;0
Серпуховско-Тимирязевская линия;Боровицкая;0;0
Серпуховско-Тимирязевская линия;Бульвар Дмитрия Донского;0;0
Серпуховско-Тимирязевская линия;Владыкино;0;0
Серпуховско-Тимирязевская линия;Дмитровская;0;0
Серпуховско-Тимирязевская линия;Менделеевская;0;0
Серпуховско-Тимирязевская линия;Нагатинская;0;0
Серпуховско-Тимирязевская линия;Нагорная;0;0
Серпуховско-Тимирязевская линия;Нахимовский проспект;0;0
Серпуховско-Тимирязевская линия;Отрадное;0;1
Серпуховско-Тимирязевская линия;Петровско-Разумовская;0;0
Серпуховско-Тимирязевская линия;Полянка;0;0
Серпуховско-Тимирязевская линия;Пражская;0;0
Серпуховско-Тимирязевская линия;Савёловская;0;0
Серпуховско-Тимирязевская линия;Севастопольская;0;0
Серпуховско-Тимирязевская линия;Серпуховская;0;0
Серпуховско-Тимирязевская линия;Тимирязевская;1;0
Серпуховско-Тимирязевская линия;Тульская;0;0
Серпуховско-Тимирязевская линия;Улица Академика Янгеля;0;0
Серпуховско-Тимирязевская линия;Цветной бульвар;0;0
Серпуховско-Тимирязевская линия;Чертановская;0;0
Серпуховско-Тимирязевская линия;Чеховская;0;0
Серпуховско-Тимирязевская линия;Южная;0;0
Сокольническая линия;Библиотека имени Ленина;0;0
Сокольническая линия;Воробьёвы горы;0;0
Сокольническая линия;Комсомольская;0;0
Сокольническая линия;Красносельская;0;0
Сокольническая линия;Красные ворота;0;0
Сокольническая линия;Кропоткинская;0;0
Сокольническая линия;Лубянка;0;0
Сокольническая линия;Охотный ряд;0;0
Сокольническая линия;Парк культуры;0;0
Сокольническая линия;Преображенская площадь;0;0
Сокольническая линия;Проспект Вернадского;0;0
Сокольническая линия;Сокольники;0;0
Сокольническая линия;Спортивная;0;0
Сокольническая линия;Университет;0;0
Сокольническая линия;Фрунзенская;0;0
Сокольническая линия;Черкизовская;0;0
Сокольническая линия;Чистые пруды;0;0
Сокольническая линия;Юго-Западная;0;0
Таганско-Краснопресненская линия;Баррикадная;0;0
Таганско-Краснопресненская линия;Беговая;0;0
Таганско-Краснопресненская линия;Волгоградский проспект;0;0
Таганско-Краснопресненская линия;Выхино;0;0
Таганско-Краснопресненская линия;Жулебино;0;0
Таганско-Краснопресненская линия;Китай-город;0;0
Таганско-Краснопресненская линия;Кузнецкий мост;0;0
Таганско-Краснопресненская линия;Кузьминки;0;0
Таганско-Краснопресненская линия;Лермонтовский проспект;0;0
Таганско-Краснопресненская линия;Октябрьское поле;0;0
Таганско-Краснопресненская линия;Планерная;0;0
Таганско-Краснопресненская линия;Полежаевская;0;0
Таганско-Краснопресненская линия;Пролетарская;0;0
Таганско-Краснопресненская линия;Пушкинская;0;0
Таганско-Краснопресненская линия;Рязанский проспект;0;0
Таганско-Краснопресненская линия;Спартак;0;0
Таганско-Краснопресненская линия;Сходненская;0;0
Таганско-Краснопресненская линия;Таганская;0;0
Таганско-Краснопресненская линия;Текстильщики;0;1
Таганско-Краснопресненская линия;Тушинская;0;0
Таганско-Краснопресненская линия;Улица 1905 года;0;0
Таганско-Краснопресненская линия;Щукинская;0;0
Филевская линия;Александровский сад;0;0
Филевская линия;Арбатская;0;0
Филевская линия;Багратионовская;0;0
Филевская линия;Выставочная;0;0
Филевская линия;Киевская;0;0
Филевская линия;Кунцевская;0;0
Филевская линия;Кутузовская;0;0
Филевская линия;Международная;0;0
Филевская линия;Пионерская;0;0
Филевская линия;Смоленская;0;0
Филевская линия;Студенческая;0;0
Филевская линия;Фили;0;0
Филевская линия;Филёвский парк;0;0
